Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO;F1_avg_indiv;F1_variance
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.1;2;max;0.0;0.7;290;0.9376114081996435;0.8602948403810057;0.9704797047970479;0.906896551724138;263.0;8;27;0.906896551724138;0.02952029520295203;0.09310344827586207;0.7412078380584717;0.4423689842224121;0.8583045744946742;0.18102045182466875
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;2;max;0;0.7;144;0;0;0.0;0.0;0.0;11;144;0.0;1.0;1.0;0.0;0.0;0.35;0.4769696007084728
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;2;max;0;0.7;289;0.9247311827956989;0.8680751986845688;0.9591078066914498;0.8927335640138409;258.0;11;31;0.8927335640138409;0.040892193308550186;0.10726643598615918;0.8601899743080139;0.616705060005188;0.9246990024079806;0.0738742052612828
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.1;2;max;0;0.7;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.2;2;max;0.0;0.65;290;0.9071803852889667;0.8362726291352363;0.9217081850533808;0.8931034482758621;259.0;22;31;0.8931034482758621;0.07829181494661921;0.10689655172413794;0.6092540621757507;0.3469231426715851;0.776791700806348;0.27453625659263725
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;2;max;0;0.65;144;0;0;0.0;0.0;0.0;25;144;0.0;1.0;1.0;0.0;0.0;0.35;0.4769696007084728
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;2;max;0;0.65;289;0.8717047451669596;0.8479367859544485;0.8857142857142857;0.8581314878892734;248.0;32;41;0.8581314878892734;0.11428571428571428;0.14186851211072665;0.7638275027275085;0.5101286172866821;0.8783782986878961;0.18015145896864457
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.2;2;max;0;0.65;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.3;2;max;0.0;0.75;290;0.7867647058823529;0.8246129358497484;0.84251968503937;0.7379310344827587;214.0;40;76;0.7379310344827587;0.15748031496062992;0.2620689655172414;0.4716319441795349;0.2580100893974304;0.653092558540271;0.34908951110223396
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.3;2;max;0;0.75;144;0.07547169811320754;0.7524806119922532;0.4;0.041666666666666664;6.0;9;138;0.041666666666666664;0.6;0.9583333333333334;0.01923076994717121;0.010585454292595387;0.3760869565217391;0.4713482652408489
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.3;2;max;0;0.75;289;0.7781818181818182;0.8148795238138523;0.8199233716475096;0.740484429065744;214.0;47;75;0.740484429065744;0.18007662835249041;0.25951557093425603;0.6215463280677795;0.3672935664653778;0.764313725490196;0.291259148217546
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.3;2;max;0;0.75;311;0;0;0.0;0.0;0.0;0;311;0.0;0.0;1.0;0.0;0.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.4;2;max;0.0;0.4;290;0.5242369838420109;0.7581917080988396;0.5468164794007491;0.503448275862069;146.0;121;144;0.503448275862069;0.45318352059925093;0.496551724137931;0.24249696731567383;0.11478390544652939;0.40865883343070053;0.37644539803745386
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.4;2;max;0;0.4;144;0.19266055045871558;0.7025880939217855;0.28378378378378377;0.14583333333333334;21.0;53;123;0.14583333333333334;0.7162162162162162;0.8541666666666666;0.055280108004808426;0.0199708454310894;0.42102564102564094;0.4601914817426627
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.4;2;max;0;0.4;289;0.4558303886925795;0.7712956113875086;0.4657039711191336;0.4463667820069204;129.0;148;160;0.4463667820069204;0.5342960288808665;0.5536332179930796;0.2570668160915375;0.1255667358636856;0.4151444873259384;0.3663682736324137
SEILS;FMT_C;test;SAE_D2_RVH_SEILS;VH;0.2;0.4;2;max;0;0.4;311;0;0;0.0;0.0;0.0;14;311;0.0;1.0;1.0;0.0;0.0;0.0;0.0
SEILS;SEILS;val;SAE_D2_RVH_SEILS;VH;0.2;0.5;2;max;0.0;0.35;290;0.26046511627906976;0.7672381659902227;0.4;0.19310344827586207;56.0;84;234;0.19310344827586207;0.6;0.8068965517241379;0.06300831586122513;0.030349988490343094;0.14982663216609488;0.29085970902806124
SEILS;Capitan;test;SAE_D2_RVH_SEILS;VH;0.2;0.5;2;max;0;0.35;144;0;0;0.0;0.0;0.0;6;144;0.0;1.0;1.0;0.0;0.0;0.35;0.4769696007084728
SEILS;SEILS;test;SAE_D2_RVH_SEILS;VH;0.2;0.5;2;max;0;0.35;289;0.1843971631205674;0.7527088860861748;0.291044776119403;0.13494809688581316;39.0;95;250;0.13494809688581316;0.7089552238805971;0.8650519031141869;0.04912906885147095;0.022116048261523247;0.1403448946321473;0.2815620805460595
