Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO;F1_avg_indiv;F1_variance
Capitan;SEILS;test;SAE_D3_RVH_Capitan;VH;0.3;0.3;2;max;0;0.3;289;0.14586709886547813;0.7080287749392731;0.13719512195121952;0.15570934256055363;45.0;283;244;0.15570934256055363;0.8628048780487805;0.8442906574394463;0.035857927054166794;0.01178581453859806;0.12104413718265712;0.17260618175850517
Capitan;FMT_C;test;SAE_D3_RVH_Capitan;VH;0.3;0.3;2;max;0;0.3;311;0;0;0.0;0.0;0.0;62;311;0.0;1.0;1.0;0.0;0.0;0.0;0.0
Capitan;Capitan;val;SAE_D3_RVH_Capitan;VH;0.3;0.4;2;max;0.0;0.3;121;0.924901185770751;0.7695814030350914;0.8863636363636364;0.9669421487603306;117.0;15;4;0.9669421487603306;0.11363636363636363;0.03305785123966942;0.6849864721298218;0.3215530216693878;0.8245314160664404;0.2688702938950602
Capitan;Capitan;test;SAE_D3_RVH_Capitan;VH;0.3;0.4;2;max;0;0.3;144;0.7262569832402234;0.7708197894809674;0.6074766355140186;0.9027777777777778;130.0;84;14;0.9027777777777778;0.3925233644859813;0.09722222222222222;0.7602084279060364;0.36721473932266235;0.6222419617419618;0.45127649556983596
Capitan;SEILS;test;SAE_D3_RVH_Capitan;VH;0.3;0.4;2;max;0;0.3;289;0.1161524500907441;0.7019151120533709;0.12213740458015267;0.11072664359861592;32.0;230;257;0.11072664359861592;0.8778625954198473;0.889273356401384;0.023834556341171265;0.009058862924575806;0.08699430837361873;0.17227959680868868
Capitan;FMT_C;test;SAE_D3_RVH_Capitan;VH;0.3;0.4;2;max;0;0.3;311;0;0;0.0;0.0;0.0;72;311;0.0;1.0;1.0;0.0;0.0;0.0;0.0
Capitan;Capitan;val;SAE_D3_RVH_Capitan;VH;0.3;0.5;2;max;0.0;0.25;121;0.6720647773279352;0.768856858503982;0.6587301587301587;0.6859504132231405;83.0;43;38;0.6859504132231405;0.3412698412698413;0.3140495867768595;0.39664918184280396;0.16591012477874756;0.5629098857330844;0.3992205945593762
Capitan;Capitan;test;SAE_D3_RVH_Capitan;VH;0.3;0.5;2;max;0;0.25;144;0.5738636363636364;0.7277327844885942;0.4855769230769231;0.7013888888888888;101.0;107;43;0.7013888888888888;0.5144230769230769;0.2986111111111111;0.5624029040336609;0.2257411926984787;0.499185552798456;0.4562349199178152
Capitan;SEILS;test;SAE_D3_RVH_Capitan;VH;0.3;0.5;2;max;0;0.25;289;0.06766917293233081;0.7350952441848139;0.07407407407407407;0.06228373702422145;18.0;225;271;0.06228373702422145;0.9259259259259259;0.9377162629757786;0.007496441248804331;0.003572792513296008;0.04728892371995821;0.1536509116430635
Capitan;FMT_C;test;SAE_D3_RVH_Capitan;VH;0.3;0.5;2;max;0;0.25;311;0.004301075268817204;0.7226172976838425;0.006493506493506494;0.003215434083601286;1.0;153;310;0.003215434083601286;0.9935064935064936;0.9967845659163987;4.593477206071839e-05;7.072135485941544e-05;0.0028490028490028487;0.014245014245014245
