Source;Target;Partition;model;Resize;dropoutTrain;dropoutVal;Repetitions;Combination;VoteTH;BinTH;TotalGTBoxes;F1;IoU;Prec;Recall;TP;FP;FN;TP-norm;FP-norm;FN-norm;mAP;COCO;F1_avg_indiv;F1_variance
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.1;2;max;0.0;0.7;316;0.9746031746031746;0.8338909789924798;0.9777070063694268;0.9715189873417721;307.0;7;9;0.9715189873417721;0.022292993630573247;0.028481012658227847;0.6994225382804871;0.3599586486816406;0.776076489207934;0.33216857381548426
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.1;2;max;0;0.7;144;0.20634920634920634;0.6451508217205346;0.24074074074074073;0.18055555555555555;26.0;82;118;0.18055555555555555;0.7592592592592593;0.8194444444444444;0.06048812344670296;0.016073035076260567;0.3413015814830331;0.4136018478559118
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0.1;2;max;0;0.7;289;0.3959390862944162;0.6865683086110176;0.312625250501002;0.5397923875432526;156.0;343;133;0.5397923875432526;0.687374749498998;0.4602076124567474;0.24872709810733795;0.08357598632574081;0.39060385373220635;0.18067736500402157
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0.1;2;max;0;0.7;311;0.9727126805778491;0.8107840840924314;0.9711538461538461;0.9742765273311897;303.0;9;8;0.9742765273311897;0.028846153846153848;0.02572347266881029;0.9615748524665833;0.5401046276092529;0.9722994229850417;0.05280967518581637
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.2;2;max;0.0;0.6;316;0.9316770186335404;0.8170441765355795;0.9146341463414634;0.9493670886075949;300.0;28;16;0.9493670886075949;0.08536585365853659;0.05063291139240506;0.577307403087616;0.29130521416664124;0.7195473064792899;0.34556902982585175
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;2;max;0;0.6;144;0.19011406844106465;0.6350172502420305;0.21008403361344538;0.1736111111111111;25.0;94;119;0.1736111111111111;0.7899159663865546;0.8263888888888888;0.041866399347782135;0.011700899340212345;0.3983727158575029;0.4234077911277474
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;2;max;0;0.6;289;0.35294117647058826;0.6644930260988924;0.28361344537815125;0.4671280276816609;135.0;341;154;0.4671280276816609;0.7163865546218487;0.532871972318339;0.19935975968837738;0.06291454285383224;0.32656528692410947;0.18752831730161992
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0.2;2;max;0;0.6;311;0.940625;0.7980245681977669;0.9148936170212766;0.9678456591639871;301.0;28;10;0.9678456591639871;0.0851063829787234;0.03215434083601286;0.9468570947647095;0.5091603994369507;0.9448645705505985;0.09499030948150079
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.3;2;max;0.0;0.45;316;0.8094534711964548;0.7860653398551698;0.7590027700831025;0.8670886075949367;274.0;87;42;0.8670886075949367;0.2409972299168975;0.13291139240506328;0.4749270975589752;0.23640640079975128;0.6581574228977536;0.36016678839418254
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.3;2;max;0;0.45;144;0.16783216783216784;0.6450994496756629;0.16901408450704225;0.16666666666666666;24.0;118;120;0.16666666666666666;0.8309859154929577;0.8333333333333334;0.043719928711652756;0.009853119030594826;0.3059139784946236;0.4225540271630314
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0.3;2;max;0;0.45;289;0.25;0.6861812654102569;0.2088167053364269;0.31141868512110726;90.0;341;199;0.31141868512110726;0.7911832946635731;0.6885813148788927;0.10574162751436234;0.035841360688209534;0.20721050887247072;0.21425274007066383
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0.3;2;max;0;0.45;311;0.8086330935251799;0.779929015110879;0.7317708333333334;0.9035369774919614;281.0;103;30;0.9035369774919614;0.2682291666666667;0.09646302250803858;0.7752218842506409;0.39795950055122375;0.8457570911641953;0.22476901101088562
FMT_C;FMT_C;val;SAE_D2_RVH_FMT_C;VH;0.2;0.4;2;max;0.0;0.6;316;0.5838323353293413;0.7863342897209942;0.5539772727272727;0.6170886075949367;195.0;157;121;0.6170886075949367;0.4460227272727273;0.3829113924050633;0.2867146134376526;0.13075372576713562;0.4512276910233997;0.37056378763347786
FMT_C;Capitan;test;SAE_D2_RVH_FMT_C;VH;0.2;0.4;2;max;0;0.6;144;0.08530805687203792;0.6244825833780467;0.13432835820895522;0.0625;9.0;58;135;0.0625;0.8656716417910447;0.9375;0.02127356082201004;0.005216780584305525;0.4;0.4666666666666667
FMT_C;SEILS;test;SAE_D2_RVH_FMT_C;VH;0.2;0.4;2;max;0;0.6;289;0.10677618069815197;0.675864656626562;0.13131313131313133;0.08996539792387544;26.0;172;263;0.08996539792387544;0.8686868686868687;0.9100346020761245;0.0270331222563982;0.008714018389582634;0.07568214831145867;0.14845460130712723
FMT_C;FMT_C;test;SAE_D2_RVH_FMT_C;VH;0.2;0.4;2;max;0;0.6;311;0.45919778699861685;0.7477084795170508;0.4029126213592233;0.5337620578778135;166.0;246;145;0.5337620578778135;0.5970873786407767;0.4662379421221865;0.32353681325912476;0.1429891437292099;0.48421194594789946;0.4058428029660854
